MatchNumber,RoundNumber,Date,Location,HomeTeam,AwayTeam,Result
218,22,03/02/2020 20:45,Stadio Luigi Ferraris,Sampdoria,Napoli,2 - 4
164,22,05/02/2020 20:45,Stadio Olimpico,Lazio,Hellas Verona,0 - 0
227,23,07/02/2020 20:45,Stadio Olimpico,Roma,Bologna,2 - 3
222,23,08/02/2020 15:00,Stadio Artemio Franchi,Fiorentina,Atalanta,1 - 2
229,23,08/02/2020 18:00,Stadio Olimpico Grande Torino,Torino,Sampdoria,1 - 3
224,23,08/02/2020 20:45,Stadio Marc'Antonio Bentegodi,Hellas Verona,Juventus,2 - 1
228,23,09/02/2020 12:30,Stadio Paolo Mazza,Spal,Sassuolo,1 - 2
221,23,09/02/2020 15:00,Stadio Mario Rigamonti,Brescia,Udinese,1 - 1
223,23,09/02/2020 15:00,Stadio Luigi Ferraris,Genoa,Cagliari,1 - 0
225,23,09/02/2020 15:00,Stadio San Paolo,Napoli,Lecce,2 - 3
226,23,09/02/2020 18:00,Stadio Ennio Tardini,Parma,Lazio,0 - 1
230,23,09/02/2020 20:45,San Siro,Inter,Milan,4 - 2
236,24,15/02/2020 15:00,Stadio Via del Mare,Lecce,Spal,2 - 1
232,24,15/02/2020 18:00,Stadio Renato Dall'Ara,Bologna,Genoa,0 - 3
231,24,15/02/2020 20:45,Gewiss Stadium,Atalanta,Roma,2 - 1
240,24,16/02/2020 12:30,Stadio Friuli,Udinese,Hellas Verona,0 - 0
234,24,16/02/2020 15:00,Allianz Stadium,Juventus,Brescia,2 - 0
238,24,16/02/2020 15:00,Stadio Luigi Ferraris,Sampdoria,Fiorentina,1 - 5
239,24,16/02/2020 15:00,Mapei Stadium,Sassuolo,Parma,0 - 1
